angle,distance
4.759021996336413,240.25
4.787383596681321,240.25
4.7939285813763,242.75
4.840834305023647,245.0
4.8359255665024135,247.75
4.85828759754359,250.5
4.899193751887208,253.5
4.914192675146534,256.25
4.92919159840586,259.75
4.9529171679251585,263.25
4.973370245096967,267.0
4.998186645398762,271.25
4.997641230007513,275.25
5.026275538048045,279.5
5.053819015306081,284.0
5.07236313860852,288.75
5.090089138824088,294.25
5.11408741603901,299.75
5.126631970037719,305.5
5.14326713947079,310.75
5.1661745859032155,317.25
5.192354524683131,323.5
5.212262186463691,330.75
5.233533386722372,337.75
5.25262292541606,346.0
5.445699973917932,484.25
5.4718799126978475,478.75
5.4917875744784075,495.5
5.509240866998351,515.0
5.531875605735152,536.5
5.54960160595072,561.75
5.569236560035656,586.5
5.588326098729344,619.0
5.610415422074897,639.75
5.633868283898571,634.25
5.654594068766004,629.75
5.678319638285301,626.25
5.69877271545711,622.25
5.722225577280784,616.75
5.742133239061344,615.0
5.766131516276266,612.75
5.786584593448075,610.5
5.828308870878565,431.75
5.847671117267876,431.5
5.873578348352167,429.75
5.894849548610848,429.5
5.916120748869529,429.25
5.937119241432586,429.0
5.954845241648153,429.25
5.9804797650368196,429.25
6.004750749947366,429.25
6.021658627076061,430.0
6.044566073508487,431.0
6.067473519940912,431.75
6.088199304808345,433.0
6.113288412805764,434.75
6.131287120716955,436.0
6.153376444062508,438.75
6.177102013581806,440.0
6.195100721492998,443.0
6.224007737229154,444.5
6.245278937487835,421.5
6.269822630094005,387.0
0.01718058482431918,361.0
0.04254240051736178,339.5
0.07144941625351786,319.5
0.09653852425093636,301.25
0.1265363707695889,285.75
0.15544338650574496,270.75
0.17289667902568828,258.25
0.20971221793494366,246.5
0.24216443371421323,236.75
0.2808889264928374,226.75
0.30297824983839067,218.0
0.3024328344471424,210.25
0.346884188833873,203.5
0.36897351217942626,197.25
0.39106283552497945,191.25
0.4131521588705327,185.5
0.43360523604234125,180.5
0.45542185169227034,175.5
0.4775111750378236,171.0
0.5080544369477243,167.0
0.5298710525976534,163.25
0.5516876682475826,160.0
0.5737769915931359,156.75
0.595593607243065,153.75
0.6176829305886182,151.25
0.6394995462385473,149.25
0.6615888695841006,147.75
0.6834054852340297,148.75
0.7052221008839588,142.25
0.727311424229512,141.0
0.7491280398794411,139.25
0.7873071172668171,137.5
0.7930339788749234,136.0
0.8151233022204767,134.75
0.8369399178704059,133.25
0.8601200719984555,132.25
0.8819366876483846,131.5
0.9040260109939379,130.75
0.9413869652944415,130.5
0.9501136115544131,130.0
0.9700212733349735,129.5
0.9918378889849025,129.25
1.013927212330456,129.0
1.035743827980385,128.75
1.0818314285408601,128.5
1.1088294904076474,128.5
1.1251919521450944,128.25
1.1238284136669738,128.0
1.145645029316903,128.0
1.201277399224222,128.0
1.1898236760080094,128.0
1.2116402916579385,128.0
1.2337296150034918,128.0
1.2642728769133924,128.0
1.2975432157795344,128.25
1.2999975850401515,128.25
1.3220869083857045,128.25
